fishID,time,ageCap,radCap,rad1,rad2,rad3,rad4,rad5,rad6,rad7
204,2,5,3.5135,0.5575,1.3275,2.1683,2.8498,3.5135,,
205,1,6,3.1152,0.4425,1.1062,1.9116,2.6638,2.9471,3.1152,
208,1,6,5.2303,0.4072,1.6816,3.2214,3.9913,4.6993,5.2303,
208,2,6,5.2832,0.3451,1.5398,2.6106,3.9469,4.708,5.2832,
209,1,5,4.717,0.5752,1.7434,2.9823,3.8584,4.717,,
209,2,5,4.5399,0.5753,1.6284,2.8496,3.708,4.5399,,
216,1,5,3.4694,0.3982,0.8407,1.4868,2.2658,3.4694,,
216,2,5,3.3276,0.354,0.7612,1.4073,2.2303,3.3276,,
218,1,2,2.5841,0.4336,2.5841,,,,,
218,2,2,2.6814,0.4336,2.6814,,,,,
222,1,4,2.5842,0.5929,1.3629,2.2302,2.5842,,,
222,2,4,2.3983,0.5487,1.2656,2.1063,2.3983,,,
223,1,6,4.1328,0.4425,1.0974,2.2832,2.6637,3.3717,4.1328,
223,2,6,4.1063,0.3982,1.0531,2.3186,2.6991,3.4779,4.1063,
225,1,7,2.6728,0.3097,0.823,1.1947,1.5134,1.8498,2.2923,2.6728
225,2,7,2.1772,0.1947,0.5753,0.9204,1.248,1.4692,1.8232,2.1772
227,1,3,1.5371,0.7071,1.1114,1.5371,,,,
227,2,3,1.6595,0.7576,1.0823,1.6595,,,,
229,1,6,4.8852,0.4336,1.1151,2.2744,3.9117,4.5312,4.8852,
229,2,6,5.1065,0.4868,1.2214,2.5312,4.1241,4.5931,5.1065,
232,1,5,3.925,0.8514,1.7966,2.1213,3.0376,3.925,,
232,2,5,3.8673,0.5916,1.0534,1.5729,2.9799,3.8673,,
233,1,5,4.5387,0.9812,2.6335,3.5642,4.0983,4.5387,,
233,2,5,4.3579,0.9885,1.8759,2.4026,3.5282,4.3579,,
234,1,4,3.9756,0.671,1.811,2.749,3.9756,,,
234,2,4,4.2063,0.7215,1.8831,3.1962,4.2063,,,
235,1,5,3.7016,0.6566,1.2915,1.8687,2.8211,3.7016,,
235,1,5,3.9614,0.7215,1.2989,1.9556,2.908,3.9614,,
237,1,5,4.2938,0.7072,1.8761,3.0594,3.8387,4.2938,,
237,2,5,4.4877,0.7143,1.9842,3.1025,3.8889,4.4877,,
238,1,5,5.0974,0.3628,2.2566,3.5664,4.531,5.0974,,
238,2,5,4.6907,0.3276,2.0533,3.372,4.1508,4.6907,,
239,1,4,2.9582,1.0318,1.6451,2.0491,2.9582,,,
239,2,4,2.9367,1.0029,1.6162,2.078,2.9367,,,
240,1,4,3.3336,1.0969,2.1647,2.7636,3.3336,,,
240,2,4,3.3406,0.8009,1.6378,2.3088,3.3406,,,
241,1,6,5.2889,1.0101,1.9841,3.4055,4.3796,4.7981,5.2889,
241,2,6,5.2815,0.9452,2.3377,3.1097,3.8385,4.4662,5.2815,
242,1,4,2.5184,0.5556,1.1761,2.1141,2.5184,,,
242,2,4,2.7997,0.6062,1.3567,2.3524,2.7997,,,
243,1,5,4.0765,0.7865,1.3493,2.0852,3.2035,4.0765,,
243,2,5,3.4922,0.8153,1.2987,2.6624,3.4922,,,
244,1,4,3.9467,0.8153,2.0707,2.9077,3.9467,,,
244,2,4,3.9971,0.8081,2.1501,2.8788,3.9971,,,
248,1,5,4.0479,0.9019,1.5224,2.2439,3.3985,4.0479,,
249,1,4,3.1242,0.6782,1.8831,2.4387,3.1242,,,
249,2,4,3.1746,0.7648,1.7965,2.4603,3.1746,,,
250,1,4,3.6868,0.7431,1.6161,2.8787,3.6868,,,
250,2,4,3.1457,0.6133,1.3925,2.5685,3.1457,,,
251,1,5,5.2165,0.8297,2.0418,3.0591,4.1558,5.2165,,
251,2,5,5.224,0.8515,1.9773,3.0523,4.351,5.224,,
252,1,4,4.9281,0.7215,2.4098,3.9971,4.9281,,,
252,2,4,4.6177,0.671,2.6479,3.5426,4.6177,,,
253,1,5,4.8557,0.6349,1.4718,2.5757,3.4993,4.8557,,
253,2,5,4.7549,0.6205,1.5152,2.4821,3.5788,4.7549,,
254,1,4,2.9875,0.5918,1.3567,2.3308,2.9875,,,
254,2,4,3.2323,0.6349,1.3564,2.3521,3.2323,,,
255,1,5,3.6364,0.4762,1.14,2.2944,3.0736,3.6364,,
255,2,5,3.8962,0.5195,1.1761,2.4171,3.0737,3.8962,,
256,1,5,4.9785,0.6926,1.4863,3.0448,4.3147,4.9785,,
256,2,5,4.3224,0.7504,1.5729,3.052,3.9106,4.3224,,
257,1,7,5.0217,0.8586,2.3305,3.1891,3.6797,4.1198,4.6393,5.0217
257,2,7,5.0071,0.9668,2.3665,3.1457,3.694,4.0836,4.6031,5.0071
258,1,5,4.1776,0.8009,1.9554,3.0088,3.6004,4.1776,,
258,2,5,3.8675,0.7143,1.8471,2.648,3.1747,3.8675,,
259,1,6,4.3801,0.8298,1.8544,2.345,3.1678,3.9616,4.3801,
259,2,6,4.1487,0.873,1.811,2.3738,3.0953,3.7447,4.1487,
260,1,7,4.9071,0.6999,1.2122,2.9149,3.5426,4.0914,4.4092,4.9071
260,2,7,4.8996,0.7143,1.3059,2.9221,3.4055,4.0045,4.5386,4.8996
261,1,5,4.654,0.8443,1.6309,2.6266,3.9325,4.654,,
261,2,5,4.6537,0.8658,1.7605,2.5902,3.9322,4.6537,,
262,1,5,4.1559,0.8081,1.7605,2.7057,3.5787,4.1559,,
262,2,5,4.4735,0.8369,1.811,2.8068,3.8458,4.4735,,
263,1,5,3.5787,0.9163,1.5224,2.6624,3.1819,3.5787,,
263,2,5,3.493,0.8951,1.4795,2.6343,3.0673,3.493,,
264,1,5,4.5311,0.9235,2.1861,3.0664,4.0116,4.5311,,
264,2,5,4.0411,0.9163,2.0707,2.9221,3.7013,4.0411,,
265,1,5,4.1776,1.0318,1.9914,2.7923,3.5427,4.1776,,
265,2,5,3.7452,0.8802,1.6309,2.569,3.3123,3.7452,,
266,1,5,3.9187,1.0462,2.2441,2.9512,3.5577,3.9187,,
266,2,5,3.9322,1.0462,2.1934,2.8283,3.557,3.9322,,
267,1,6,5.1594,0.2479,2.2656,3.3983,4.0532,4.6284,5.1594,
267,2,6,5.2922,0.301,2.4427,3.5754,4.2214,4.8143,5.2922,
268,1,7,6.1154,0.2833,2.009,3.54,4.1772,4.5667,5.4694,6.1154
268,2,7,6.0268,0.3895,1.9736,3.4957,4.0798,4.5488,5.1772,6.0268
269,1,6,5.0888,0.2391,1.1064,3.0356,3.894,4.4604,5.0888,
269,2,6,5.3544,0.2656,1.0976,3.1153,4.0712,4.6022,5.3544,
270,1,5,4.0044,0.8009,1.8182,2.5758,3.2901,4.0044,,
270,2,5,3.7302,0.7143,1.7966,2.6263,3.1169,3.7302,,
271,1,5,4.6394,0.7288,1.8543,2.7129,3.4272,4.6394,,
272,1,4,3.8384,1.2121,1.9336,2.6623,3.8384,,,
272,2,4,3.7739,1.2121,1.9985,3.0377,3.7739,,,
273,1,3,1.5512,0.202,0.8369,1.5512,,,,
273,2,3,1.3065,0.2529,0.8373,1.3065,,,,
274,1,3,1.8471,0.4978,0.9812,1.8471,,,,
274,2,3,1.6884,0.3102,0.8297,1.6884,,,,
275,1,5,3.0809,0.5845,1.4503,1.9986,2.5614,3.0809,,
275,2,5,2.908,0.6133,1.0969,1.8112,2.4173,2.908,,
276,1,5,2.9945,0.4836,0.9093,1.638,2.4389,2.9945,,
276,2,5,2.9365,0.4329,1.1039,1.6811,2.3737,2.9365,,
277,1,6,4.1342,0.5267,1.4502,2.5469,3.1746,3.7157,4.1342,
277,2,6,4.2355,0.5845,1.5369,2.7997,3.4851,3.9541,4.2355,
278,1,5,3.1459,0.5556,1.306,1.7894,2.5903,3.1459,,
278,2,5,3.1964,0.5267,1.0895,1.7822,2.5326,3.1964,,
279,1,5,4.6537,0.8297,1.9264,3.2395,3.8961,4.6537,,
279,2,5,4.5237,0.7864,1.9047,3.1745,3.694,4.5237,,
280,1,4,2.7779,0.9452,1.811,2.4244,2.7779,,,
280,2,4,2.5036,0.8586,1.6306,2.0635,2.5036,,,
281,1,3,2.5398,1.1328,1.9048,2.5398,,,,
281,2,3,2.7923,1.2483,2.1646,2.7923,,,,
282,1,6,5.2814,1.0606,2.0274,3.3189,3.9827,4.6465,5.2814,
282,1,6,5.1876,1.0895,2.0491,3.2829,3.9611,4.5888,5.1876,
282,1,6,5.173,1.0807,2.0461,3.1413,3.7321,4.539,5.173,
282,2,6,5.2739,1.0519,2.0245,3.2997,3.9626,4.6399,5.2739,
283,1,6,4.7352,0.4071,1.3894,2.832,3.4429,4.1511,4.7352,
283,2,6,5.3985,0.3009,1.5575,3.2833,3.9913,4.7347,5.3985,
284,1,5,4.4529,0.9654,2.1974,3.0259,3.9193,4.4529,,
284,1,5,4.4734,0.974,2.1934,3.0376,3.9034,4.4734,,
284,2,5,4.25,0.9885,2.1862,2.9656,3.7738,4.25,,
284,2,5,4.2294,0.9799,1.9021,2.8243,3.7537,4.2294,,
285,1,5,3.905,0.5476,1.5563,2.6514,3.3286,3.905,,
285,1,5,3.7089,1.0173,2.1068,2.7996,3.377,3.7089,,
285,2,5,3.7176,0.4899,1.4193,2.5432,3.1412,3.7176,,
285,2,5,3.7087,0.9092,2.0565,2.6409,3.2109,3.7087,,
286,1,5,4.2785,0.7864,2.0274,3.29,3.7951,4.2785,,
286,2,5,4.0192,0.7288,1.9121,3.0088,3.5788,4.0192,,
287,1,4,4.1128,0.7143,1.9482,3.1748,4.1128,,,
287,2,4,3.9755,0.6999,1.8399,2.9077,3.9755,,,
288,1,5,4.0115,0.4834,1.8398,2.8427,3.4343,4.0115,,
289,1,5,4.452,0.6061,1.6451,2.6192,3.7232,4.452,,
289,2,5,4.3363,0.671,1.9698,2.6624,3.6653,4.3363,,
290,1,6,5.051,0.6638,1.7461,2.8139,3.6942,4.589,5.051,
290,2,6,5.0507,0.6423,1.7606,3.0954,3.8025,4.3292,5.0507,
291,1,4,2.9727,0.8226,1.3349,1.8327,2.9727,,,
291,2,4,3.2689,0.8947,1.4503,2.1574,3.2689,,,
292,1,5,4.3652,0.7431,2.0779,3.1458,3.6725,4.3652,,
292,2,5,4.3583,0.6999,2.0563,3.1819,3.6583,4.3583,,
293,1,5,4.0837,0.6349,1.8254,2.8427,3.2612,4.0837,,
293,2,5,4.0404,0.5123,2.2511,2.9437,3.5714,4.0404,,
294,1,4,3.9322,0.5988,1.7388,3.0303,3.9322,,,
294,2,4,3.7086,0.5916,1.7677,2.785,3.7086,,,
295,1,4,2.7274,0.5772,1.5584,2.1067,2.7274,,,
295,2,4,2.6846,0.8589,1.6527,2.3093,2.6846,,,
296,1,6,5.2823,1.0317,1.8688,2.9511,4.0191,4.7123,5.2823,
296,2,6,4.9138,0.9453,1.5586,2.6337,3.6367,4.351,4.9138,
297,1,5,4.8775,0.8442,1.6668,2.8789,4.0044,4.8775,,
297,2,5,4.7188,1.241,1.9409,2.7851,3.9035,4.7188,,
298,1,5,3.5643,0.5628,1.508,2.2656,2.7779,3.5643,,
298,2,5,4.0694,0.6494,1.6162,2.3233,3.016,4.0694,,
300,1,5,4.2424,1.0173,2.1717,2.9148,3.6219,4.2424,,
300,2,5,4.185,0.9813,2.1718,2.9294,3.5499,4.185,,
301,1,6,3.8827,0.6638,1.0534,2.0419,2.8789,3.2835,3.8827,
301,2,6,4.3218,0.6061,1.1328,2.1934,3.0664,3.557,4.3218,
302,1,6,4.6177,0.4978,1.2987,2.7778,3.759,4.1847,4.6177,
302,2,6,4.6471,0.8153,1.3569,2.6917,3.6441,4.1636,4.6471,
303,1,6,3.6221,0.8514,1.3494,1.638,2.2946,3.1315,3.6221,
303,2,6,4.1199,0.8658,1.5224,1.8471,2.5975,3.6293,4.1199,
304,1,5,3.9828,0.8369,1.6811,2.482,3.4128,3.9828,,
304,2,5,3.8241,0.9668,1.7316,2.5108,3.3479,3.8241,,
305,1,3,2.3954,0.4762,1.4719,2.3954,,,,
305,2,3,2.3665,0.5339,1.3997,2.3665,,,,
307,1,7,3.745,0.7143,1.3494,1.7825,2.3525,2.771,3.3121,3.745
307,2,7,3.6656,0.7215,1.3131,1.8614,2.5469,2.8717,3.2616,3.6656
308,1,6,4.0409,0.8154,1.4505,2.0495,3.0307,3.6079,4.0409,
308,2,6,4.329,0.6782,1.7388,2.8571,3.3261,3.9827,4.329,
309,1,6,4.8629,0.6421,1.1688,2.5685,3.3622,4.1703,4.8629,
309,2,6,5.2312,0.6349,1.2193,2.6696,3.6797,4.3364,5.2312,
310,1,6,3.7733,0.8874,1.378,2.3087,2.8354,3.2394,3.7733,
310,2,6,3.6364,0.7504,1.1833,2.2295,2.7706,3.1746,3.6364,
311,1,6,3.8964,0.5772,0.938,2.1429,2.7706,3.3262,3.8964,
311,2,6,4.3581,0.5772,1.0606,2.1717,2.9799,3.7014,4.3581,
312,1,5,4.2428,0.729,1.8618,2.9729,3.6079,4.2428,,
312,2,5,4.0119,0.7359,1.8542,2.6839,3.3838,4.0119,,
313,1,3,1.9554,0.8298,1.1906,1.9554,,,,
313,2,3,2.28,0.8586,1.4214,2.28,,,,
314,1,5,4.4446,0.5845,1.9698,2.951,3.9034,4.4446,,
314,2,5,4.3289,0.5844,1.746,3.0375,3.8744,4.3289,,
315,1,5,4.2213,0.8225,1.9192,2.9293,3.4346,4.2213,,
315,2,5,4.0479,0.8226,1.9627,2.9513,3.4996,4.0479,,
316,1,4,3.9612,0.9235,2.1501,3.2612,3.9612,,,
316,2,4,3.9612,0.7865,2.078,3.2035,3.9612,,,
317,1,4,2.4242,0.7864,1.1977,1.6883,2.4242,,,
317,2,4,2.4892,0.6926,1.2266,1.71,2.4892,,,
319,1,6,5.0533,0.3009,1.469,3.2301,3.947,4.593,5.0533,
319,2,6,5.3718,0.3451,1.6991,3.3805,4.1593,4.885,5.3718,
320,1,3,2.547,0.469,1.4503,2.547,,,,
320,2,3,3.0881,0.5556,1.8182,3.0881,,,,
321,1,4,3.4056,1.0174,1.71,2.3088,3.4056,,,
321,2,4,3.3551,0.8658,1.7028,2.2295,3.3551,,,
323,1,4,3.0161,0.6205,1.2412,1.8906,3.0161,,,
323,2,4,2.7779,0.6133,1.2699,1.7317,2.7779,,,
324,1,5,4.322,0.7,1.6163,2.9655,3.5211,4.322,,
324,2,5,4.228,0.6205,1.6306,2.8716,3.5354,4.228,,
325,1,3,2.9943,1.2193,2.1718,2.9943,,,,
325,2,3,2.9438,1.2554,2.0058,2.9438,,,,
326,1,5,3.6436,0.4113,1.4647,2.1429,2.8067,3.6436,,
326,2,5,3.1534,0.4404,1.162,1.8258,2.5473,3.1534,,
327,1,6,4.2136,0.8153,1.3348,2.1068,2.7778,3.254,4.2136,
327,2,6,4.2714,0.8225,1.443,2.1068,2.8067,3.2324,4.2714,
328,1,6,5.8804,1.1111,2.3665,3.6581,4.6754,5.267,5.8804,
329,1,6,4.3291,0.8658,1.6883,2.8283,3.2468,3.8384,4.3291,
329,2,6,4.4808,0.9091,1.7605,2.6048,3.2397,3.9828,4.4808,
330,1,6,4.0549,0.7864,1.6811,2.6118,2.987,3.4921,4.0549,
330,2,6,4.0407,0.7792,1.6668,2.677,3.146,3.5501,4.0407,
331,1,5,4.1993,0.9668,2.1212,3.1529,3.6942,4.1993,,
331,2,5,4.358,0.9452,2.1573,3.2396,3.8746,4.358,,
332,1,6,4.4663,1.1617,2.0203,2.5398,3.4561,3.954,4.4663,
332,2,6,4.3724,1.0678,2.0058,2.648,3.5643,3.9467,4.3724,
333,1,5,4.1199,0.8081,1.7966,2.9366,3.6581,4.1199,,
333,2,5,3.5283,0.7287,1.609,2.5037,2.9222,3.5283,,
334,1,6,5.2833,0.2832,1.7345,3.5841,4.1771,4.655,5.2833,
334,2,6,5.1508,0.2656,1.6108,3.3896,3.9826,4.4959,5.1508,
335,1,6,5.4868,0.4159,1.708,3.478,4.1948,4.8408,5.4868,
335,2,6,5.6285,0.4514,1.7257,3.6461,4.3187,5.0444,5.6285,
337,1,3,2.0707,0.8153,1.3564,2.0707,,,,
337,2,3,2.3594,1.0967,1.6523,2.3594,,,,
338,1,5,3.4055,0.6421,1.6811,2.0851,2.8211,3.4055,,
338,2,5,3.3983,0.6854,1.7244,2.1573,2.7489,3.3983,,
339,1,4,2.4026,0.5483,1.1039,1.8182,2.4026,,,
339,2,4,2.3739,0.5339,0.9019,1.5657,2.3739,,,
340,1,3,2.4531,1.1688,1.847,2.4531,,,,
340,2,3,2.7129,1.2771,1.9986,2.7129,,,,
342,1,5,3.254,0.6566,1.3348,2.114,2.7417,3.254,,
342,2,5,3.2832,0.7215,1.3927,2.338,2.7204,3.2832,,
343,1,4,2.6552,1.1039,1.5873,2.1429,2.6552,,,
343,2,4,2.6553,1.0751,1.5657,2.2223,2.6553,,,
344,1,6,3.5936,0.5339,1.1833,1.8615,2.3959,3.2184,3.5936,
344,2,6,3.6509,0.5484,1.241,2.1501,2.7129,3.3046,3.6509,
345,1,5,3.5065,0.8153,1.7677,2.3449,2.886,3.5065,,
345,2,5,3.6944,0.8081,1.775,2.4099,2.8286,3.6944,,
346,1,7,4.8486,0.8226,1.8111,2.8428,3.4849,4.0116,4.5239,4.8486
346,2,7,4.7263,0.7577,1.4938,2.7133,3.3843,3.7883,4.3078,4.7263
347,1,5,4.1705,0.7215,1.9266,2.8213,3.4851,4.1705,,
347,2,5,3.9539,0.7143,1.8687,2.7129,3.5787,3.9539,,
348,1,7,4.6469,0.7072,1.5588,2.439,3.0523,3.5429,4.1418,4.6469
348,2,7,4.2786,0.6854,1.4935,2.0707,2.7201,3.3262,3.9034,4.2786
349,1,4,3.9177,0.6421,1.5656,2.6911,3.9177,,,
349,2,4,4.0548,0.671,1.5873,3.0447,4.0548,,,
350,1,6,5.4162,0.4602,1.9381,3.6018,4.2744,4.9736,5.4162,
350,2,6,5.0708,0.3982,1.8672,3.407,3.9203,4.5133,5.0708,
351,1,6,4.9383,0.2301,0.8673,2.4868,3.5134,4.2922,4.9383,
351,2,6,4.8496,0.2035,0.8849,2.4425,3.5664,4.2655,4.8496,
352,1,5,4.1775,0.7864,1.912,2.7778,3.5137,4.1775,,
352,2,5,4.1275,0.7938,1.8906,2.7422,3.507,4.1275,,
353,1,5,4.3075,0.7216,1.5946,3.0593,3.6726,4.3075,,
353,2,5,4.0405,0.5844,1.4791,2.8644,3.6075,4.0405,,
354,1,5,3.9036,0.6639,1.7534,2.5182,3.2542,3.9036,,
354,2,5,3.6656,0.6927,1.6956,2.3378,3.0668,3.6656,,
355,1,6,4.2932,0.5412,1.1762,2.4028,3.1821,3.7232,4.2932,
355,2,6,4.2497,0.5556,1.1617,2.3594,3.1531,3.7014,4.2497,
536,1,5,4.4094,0.598,1.3617,2.5721,3.552,4.4094,,
588,1,3,2.6801,0.6412,1.621,2.6801,,,,
588,2,3,2.8028,0.7782,1.6645,2.8028,,,,
630,1,5,5.1945,1.3113,2.4568,3.732,4.3804,5.1945,,
630,2,5,5.4756,1.3401,2.6297,3.5159,4.3372,5.4756,,
631,1,5,3.5229,0.4899,1.4553,2.4567,3.1411,3.5229,,
631,2,5,4.0924,0.6988,1.7363,2.6801,3.4654,4.0924,,
632,1,5,4.4741,0.9006,2.1542,2.8531,3.4871,4.4741,,
632,2,5,4.9928,1.0879,2.7666,3.5519,4.3228,4.9928,,
656,1,4,3.1633,0.9583,2.0102,2.8172,3.1633,,,
656,2,4,3.1989,1.0375,1.7868,2.8099,3.1989,,,
657,1,5,5.1804,0.7349,2.0102,3.2783,4.3446,5.1804,,
657,2,5,5.0651,0.9151,2.0967,2.9613,4.1933,5.0651,,
836,1,7,5.0724,1.1888,2.1975,2.9685,3.7034,4.0636,4.5247,5.0724
836,2,7,5.137,1.1744,2.1831,3.0765,3.6024,4.0851,4.6327,5.137
837,1,5,4.1355,0.9222,2.1182,3.0332,3.7176,4.1355,,
837,2,5,4.1355,0.9222,2.0389,2.6945,3.2709,4.1355,,
838,1,4,4.2725,1.6499,2.5001,3.552,4.2725,,,
838,2,4,4.1789,1.5779,2.3633,3.4944,4.1789,,,
839,1,4,3.9122,1.304,2.2766,2.8459,3.9122,,,
839,2,4,3.9122,1.9957,2.5649,3.4655,3.9122,,,
840,1,4,3.451,1.268,2.0461,2.6657,3.451,,,
840,2,4,3.8257,1.7579,2.5,3.1124,3.8257,,,
842,1,5,4.2076,0.7997,1.657,2.7234,3.588,4.2076,,
842,2,5,4.1498,0.987,1.7867,2.7089,3.6383,4.1498,,
843,1,5,4.1932,0.9078,1.4986,2.709,3.4871,4.1932,,
843,2,5,4.3012,0.8501,1.657,2.8602,3.5518,4.3012,,
844,1,6,4.9713,0.9222,1.9957,2.781,3.7897,4.3517,4.9713,
844,2,6,5.0146,1.1095,1.9957,2.8387,3.552,4.4094,5.0146,
845,1,4,4.6472,1.513,2.3777,3.4152,4.6472,,,
845,2,4,5.4036,1.8012,3.0981,4.0491,5.4036,,,
846,1,4,3.2639,0.9006,1.4266,2.4858,3.2639,,,
847,1,5,4.2364,1.1816,2.4064,3.2061,3.8041,4.2364,,
847,2,5,4.1644,1.2464,2.5072,3.2925,3.8977,4.1644,,
848,1,5,4.2943,1.3545,2.2552,2.8173,3.5162,4.2943,,
848,2,5,3.9987,1.2392,1.7292,2.6586,3.2206,3.9987,,
849,1,4,3.6672,1.8084,2.9035,3.2854,3.6672,,,
849,2,4,4.15,2.0173,3.415,3.8041,4.15,,,
850,1,5,4.4024,1.3256,1.8443,2.7953,3.3937,4.4024,,
850,2,5,4.2579,1.3256,1.8083,2.5936,3.1412,4.2579,,
851,1,4,3.3432,1.3473,2.3199,2.9035,3.3432,,,
852,1,3,3.5159,1.1888,2.5289,3.5159,,,,
852,2,3,3.66,0.8934,2.428,3.66,,,,
853,1,4,3.696,1.0303,2.2551,2.9395,3.696,,,
853,2,4,3.4871,1.1888,2.1902,2.9323,3.4871,,,
854,1,5,4.3013,0.6412,1.6715,3.1052,3.8113,4.3013,,
854,2,5,4.33,0.8069,1.5778,2.9107,3.8257,4.33,,
855,1,5,4.1499,1.0303,2.2551,3.0044,3.7753,4.1499,,
856,1,5,4.0782,0.8791,2.0464,3.0263,3.4586,4.0782,,
856,2,5,3.9772,0.8357,2.1325,3.0763,3.4296,3.9772,,
857,1,5,4.5247,0.8287,1.8085,3.2494,3.9555,4.5247,,
857,2,5,4.6547,0.879,1.7436,3.343,3.8331,4.6547,,
858,1,5,4.539,0.6917,1.6283,3.1341,3.7897,4.539,,
858,2,5,4.1067,0.7925,1.4553,2.7665,3.3142,4.1067,,
859,1,5,4.1211,0.9222,2.2046,2.9323,3.5447,4.1211,,
859,2,5,4.5246,0.879,2.3415,3.1196,3.8473,4.5246,,
860,1,3,2.7741,0.9799,1.8879,2.7741,,,,
